dataset,image_id,split,hazy_path,gt_path
NTIRE26-NH,01,train,project/ntire/ntire26_train_inputs/01_NTHazy.png,project/ntire/ntire26_train_gt/01_GT.png
NTIRE26-NH,02,train,project/ntire/ntire26_train_inputs/02_NTHazy.png,project/ntire/ntire26_train_gt/02_GT.png
NTIRE26-NH,03,train,project/ntire/ntire26_train_inputs/03_NTHazy.png,project/ntire/ntire26_train_gt/03_GT.png
NTIRE26-NH,04,train,project/ntire/ntire26_train_inputs/04_NTHazy.png,project/ntire/ntire26_train_gt/04_GT.png
NTIRE26-NH,05,train,project/ntire/ntire26_train_inputs/05_NTHazy.png,project/ntire/ntire26_train_gt/05_GT.png
NTIRE26-NH,06,train,project/ntire/ntire26_train_inputs/06_NTHazy.png,project/ntire/ntire26_train_gt/06_GT.png
NTIRE26-NH,07,train,project/ntire/ntire26_train_inputs/07_NTHazy.png,project/ntire/ntire26_train_gt/07_GT.png
NTIRE26-NH,08,train,project/ntire/ntire26_train_inputs/08_NTHazy.png,project/ntire/ntire26_train_gt/08_GT.png
NTIRE26-NH,09,train,project/ntire/ntire26_train_inputs/09_NTHazy.png,project/ntire/ntire26_train_gt/09_GT.png
NTIRE26-NH,10,train,project/ntire/ntire26_train_inputs/10_NTHazy.png,project/ntire/ntire26_train_gt/10_GT.png
NTIRE26-NH,11,train,project/ntire/ntire26_train_inputs/11_NTHazy.png,project/ntire/ntire26_train_gt/11_GT.png
NTIRE26-NH,12,train,project/ntire/ntire26_train_inputs/12_NTHazy.png,project/ntire/ntire26_train_gt/12_GT.png
NTIRE26-NH,13,train,project/ntire/ntire26_train_inputs/13_NTHazy.png,project/ntire/ntire26_train_gt/13_GT.png
NTIRE26-NH,14,train,project/ntire/ntire26_train_inputs/14_NTHazy.png,project/ntire/ntire26_train_gt/14_GT.png
NTIRE26-NH,15,train,project/ntire/ntire26_train_inputs/15_NTHazy.png,project/ntire/ntire26_train_gt/15_GT.png
NTIRE26-NH,16,train,project/ntire/ntire26_train_inputs/16_NTHazy.png,project/ntire/ntire26_train_gt/16_GT.png
NTIRE26-NH,17,train,project/ntire/ntire26_train_inputs/17_NTHazy.png,project/ntire/ntire26_train_gt/17_GT.png
NTIRE26-NH,18,train,project/ntire/ntire26_train_inputs/18_NTHazy.png,project/ntire/ntire26_train_gt/18_GT.png
NTIRE26-NH,19,train,project/ntire/ntire26_train_inputs/19_NTHazy.png,project/ntire/ntire26_train_gt/19_GT.png
NTIRE26-NH,20,train,project/ntire/ntire26_train_inputs/20_NTHazy.png,project/ntire/ntire26_train_gt/20_GT.png
NTIRE26-NH,21,val,project/ntire/ntire26_train_inputs/21_NTHazy.png,project/ntire/ntire26_train_gt/21_GT.png
NTIRE26-NH,22,val,project/ntire/ntire26_train_inputs/22_NTHazy.png,project/ntire/ntire26_train_gt/22_GT.png
NTIRE26-NH,23,val,project/ntire/ntire26_train_inputs/23_NTHazy.png,project/ntire/ntire26_train_gt/23_GT.png
NTIRE26-NH,24,test,project/ntire/ntire26_train_inputs/24_NTHazy.png,project/ntire/ntire26_train_gt/24_GT.png
NTIRE26-NH,25,test,project/ntire/ntire26_train_inputs/25_NTHazy.png,project/ntire/ntire26_train_gt/25_GT.png
