split,path
train,Mapillary Vistas/training/images/--NSVcUgfVhFd6uzkqHOOg.jpg
train,Mapillary Vistas/training/images/--SWG8TJo7vrbZ_x5YLj6A.jpg
train,Mapillary Vistas/training/images/--WOpVBuHlCygAUADkttpg.jpg
train,Mapillary Vistas/training/images/--jRsD9anHdGxv4ZOCQktA.jpg
train,Mapillary Vistas/training/images/--tczNya4_w5IhU9DeRMHw.jpg
train,Mapillary Vistas/training/images/--vWKSR3Rh8quTfK4AuKOQ.jpg
train,Mapillary Vistas/training/images/--zBInAo8-NDrBCfvJ4fEw.jpg
train,Mapillary Vistas/training/images/-0C1J9CvgFP4BTVLXNeNZA.jpg
train,Mapillary Vistas/training/images/-0GQmYRienNVqEKiQ0Mkyw.jpg
train,Mapillary Vistas/training/images/-0Q9X3KqBrhdlGzap-YToQ.jpg
train,Mapillary Vistas/training/images/-0QdotcnWZMgDLHELjMeoQ.jpg
train,Mapillary Vistas/training/images/-0xySwkm6plG4nznHLQcHg.jpg
train,Mapillary Vistas/training/images/-1Z28Rrc91syhk-y8Bp_cg.jpg
train,Mapillary Vistas/training/images/-24xIsrQS_XSpHHgmmOB2g.jpg
train,Mapillary Vistas/training/images/-2H8gOJp_LEvus2Y6pCIOA.jpg
train,Mapillary Vistas/training/images/-3BbEwDFdZ6kvDrbqhNShw.jpg
train,Mapillary Vistas/training/images/-3Ce66lOpbY2j4Tgngr-dQ.jpg
train,Mapillary Vistas/training/images/-3WWvMk6i1YgKC9ECG2HEA.jpg
train,Mapillary Vistas/training/images/-3bnLdeHkonpmCJj3a1X_w.jpg
train,Mapillary Vistas/training/images/-3qDI4rcmarHQRV9FDKfeA.jpg
train,Mapillary Vistas/training/images/-3u6bh9pGFOtClGfzvMqqg.jpg
train,Mapillary Vistas/training/images/-4Kw4AJqOzZG8q5le7bGlQ.jpg
train,Mapillary Vistas/training/images/-4SR45KuNoLQJJMNstPwRg.jpg
train,Mapillary Vistas/training/images/-4VHR0_p6lfAJ3Id2RXozg.jpg
train,Mapillary Vistas/training/images/-4oZ0SAVEd4ijmony0t1Zw.jpg
train,Mapillary Vistas/training/images/-4x3QnUx01ZfYnZPVE9DNA.jpg
train,Mapillary Vistas/training/images/-5Bq-gd3iHCFkWdCjjfWlA.jpg
train,Mapillary Vistas/training/images/-5Tar0aE6kVomCLac556dA.jpg
train,Mapillary Vistas/training/images/-5_vD3uQLbZa9We0ZRe64g.jpg
train,Mapillary Vistas/training/images/-5g8sem4SFSvxctV9MeyIw.jpg
train,Mapillary Vistas/training/images/-5n8RNkx2tWpD7w-ZAZXZA.jpg
train,Mapillary Vistas/training/images/-6-WLs7O63-6cwx-8adk7g.jpg
train,Mapillary Vistas/training/images/-60QYVrLRufeAjbRN-z79g.jpg
train,Mapillary Vistas/training/images/-6KIBA7UMZeUpAF-MreNKw.jpg
train,Mapillary Vistas/training/images/-6ie-JRSyamuIYcRWTWZVw.jpg
train,Mapillary Vistas/training/images/-6kI3IofoH9vQ7kM6ake2w.jpg
train,Mapillary Vistas/training/images/-6tNQe10dgH3ByWafilXHw.jpg
train,Mapillary Vistas/training/images/-6zd1w0cgRgijS2srqkMUA.jpg
train,Mapillary Vistas/training/images/-7kDWbpzqmrQkBx39Z_Jgg.jpg
train,Mapillary Vistas/training/images/-7njPpiHROkOjrBeSzNiow.jpg
train,Mapillary Vistas/training/images/-8EClSWhRM4FuiWdu-kbQg.jpg
train,Mapillary Vistas/training/images/-8LfeDEADhyLcKBvhRWrCw.jpg
train,Mapillary Vistas/training/images/-8d4l3xicTRHZLze9Wuc4g.jpg
train,Mapillary Vistas/training/images/-8d9PIE2D6OjzC3Q_fEUmA.jpg
train,Mapillary Vistas/training/images/-8uEGk5o-Mm4J_WrNd-lVg.jpg
train,Mapillary Vistas/training/images/-9KGl9SjjCNY1k7e7kZAQw.jpg
train,Mapillary Vistas/training/images/-9Rwv8nwRvau53Ravsn3-A.jpg
train,Mapillary Vistas/training/images/-9bvNvBWAX3xjKfJzS4vTA.jpg
train,Mapillary Vistas/training/images/-9s41VI1tVoMhjTwKUMbnw.jpg
train,Mapillary Vistas/training/images/-A0I13p2EKUmebBd_o1WAw.jpg
train,Mapillary Vistas/training/images/-A3duJBYuHa2VtOTTsG1dQ.jpg
train,Mapillary Vistas/training/images/-AMluJ4RmAbAN0L9AfwFUg.jpg
train,Mapillary Vistas/training/images/-AUC1oIt8HUa9TmU4bd0Dg.jpg
train,Mapillary Vistas/training/images/-Ae9jTBaJa6ZIG0_a1gKTw.jpg
train,Mapillary Vistas/training/images/-BIXObU5Dbd_RwSUOSQ5WA.jpg
train,Mapillary Vistas/training/images/-BXtaV58FRkenRKZro21cQ.jpg
train,Mapillary Vistas/training/images/-BjxFCNOKl2jskkYoVBwbA.jpg
train,Mapillary Vistas/training/images/-C-w9t58ZO5RSefsi061Lw.jpg
train,Mapillary Vistas/training/images/-CHPuwsnH7hfEje1O4oqTw.jpg
train,Mapillary Vistas/training/images/-CZlSrsXBlX6zvIEpCRDrw.jpg
train,Mapillary Vistas/training/images/-CbEDty6bbpZ2Uc9R9utPA.jpg
train,Mapillary Vistas/training/images/-CjGcO8hfpC8lzGrYsM8Iw.jpg
train,Mapillary Vistas/training/images/-CmpNq7_3_pMhJYNv6wNzg.jpg
train,Mapillary Vistas/training/images/-D7PwwMuQ0K0dH01QKD__g.jpg
train,Mapillary Vistas/training/images/-DHEVkd576GS3gT-ucMiig.jpg
train,Mapillary Vistas/training/images/-DIQxpmN0Vk7KGxtclWvsA.jpg
train,Mapillary Vistas/training/images/-DhrBI2NUhI53j6u9k_adw.jpg
train,Mapillary Vistas/training/images/-DsdPlUt6iih-L9Gy35IMg.jpg
train,Mapillary Vistas/training/images/-DyNAUaoopodGXbo_k8RNg.jpg
train,Mapillary Vistas/training/images/-E8T1gplOQJq-E_B5V6lfQ.jpg
train,Mapillary Vistas/training/images/-ERU5nErUqQn3JZ6sSGofA.jpg
train,Mapillary Vistas/training/images/-EWyNaeId-UrIMVxKmbe-g.jpg
train,Mapillary Vistas/training/images/-ElQvytjkvXF3jNYXoe4Og.jpg
train,Mapillary Vistas/training/images/-FDKMXaTWSNS5u9Ad2SO2Q.jpg
train,Mapillary Vistas/training/images/-Fepp6H91z1x7iuaJS9-wQ.jpg
train,Mapillary Vistas/training/images/-FtqiD0037yomyFmsem25w.jpg
train,Mapillary Vistas/training/images/-G6ZKGj-TEUy4DFRjCy3yg.jpg
train,Mapillary Vistas/training/images/-GDAvC1NBZQsl3wxTxOcIg.jpg
train,Mapillary Vistas/training/images/-GG2FOy_wmOsX6ImEm1uLA.jpg
train,Mapillary Vistas/training/images/-GsIwCvO8Z6tpWUZKE3_1A.jpg
train,Mapillary Vistas/training/images/-GxYFOCn-Xfnljtk30lpIA.jpg
train,Mapillary Vistas/training/images/-H9cBUiSMBxs5pm3tCGwAg.jpg
train,Mapillary Vistas/training/images/-HFT-WGo9ftuyGUUm-4zGQ.jpg
train,Mapillary Vistas/training/images/-HMM6ZkJJr4Wbdr9YS1MzA.jpg
train,Mapillary Vistas/training/images/-IK_pKkzprAR5XnFgpQ-NQ.jpg
train,Mapillary Vistas/training/images/-Ior0TCn7mp29k_w-W2Yyw.jpg
train,Mapillary Vistas/training/images/-IzPhdupoy0gOk6agMcA8Q.jpg
train,Mapillary Vistas/training/images/-J0nkDaw7C0woFaCoUKZnQ.jpg
train,Mapillary Vistas/training/images/-J48Mok3W-uXxpG-eCuECQ.jpg
train,Mapillary Vistas/training/images/-JdRFz_3ijpW8Xm5LMm3Ww.jpg
