condition,class_name,precision,recall,f1_score,support
Clear targets,apparel,0.9891304347826086,0.9891304347826086,0.9891304347826086,92
Clear targets,artwork,0.8681318681318682,0.8586956521739131,0.8633879781420765,92
Clear targets,cars,0.989247311827957,1.0,0.9945945945945946,92
Clear targets,dishes,0.989010989010989,0.9782608695652174,0.9836065573770492,92
Clear targets,furniture,0.9787234042553192,1.0,0.989247311827957,92
Clear targets,illustrations,0.8681318681318682,0.8586956521739131,0.8633879781420765,92
Foggy inputs,apparel,1.0,0.967391304347826,0.9834254143646408,92
Foggy inputs,artwork,0.8736842105263158,0.9021739130434784,0.8877005347593583,92
Foggy inputs,cars,0.9888888888888888,0.967391304347826,0.978021978021978,92
Foggy inputs,dishes,0.9166666666666666,0.9565217391304348,0.9361702127659576,92
Foggy inputs,furniture,0.9777777777777776,0.9565217391304348,0.967032967032967,92
Foggy inputs,illustrations,0.8804347826086957,0.8804347826086957,0.8804347826086957,92
